2020-02-16/16:36:58		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:09		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:09		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:09		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:09		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:09		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:09		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:10		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:11		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:12		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:13		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:14		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:15		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:16		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
2020-02-16/16:37:17		 phising_08012020_120000.csv: File loaded successfully!!
